My age is:,I've worked in design for:,I make:,My job is great because:,My skills include:,I am:,I work in:,I typically work:
29,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|The standard of work is pretty high|There's flexibility over where and when I work,Art direction|Mentoring|Project management|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Education|Packaging design|UI design|UX design,Less than 40 hours
38,Less than 1 year,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Drawing / Painting|Photography|Research|UI design","Not really satisfied, but I deal",Experience design|Interaction design|Research|Service design|UX design,51 - 60 hours
26,1 - 4 years,"Less than $25,000",There's flexibility over where and when I work|I have a manageable workload,Coding|Data analysis|Film / Video|Project management|SEO / Social Media,"Not really satisfied, but I deal",Communication / Graphic design,40 hours
35,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I have a manageable workload,Art direction|Film / Video|Photography|Project management|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Motion graphics|UI design|UX design,41 - 50 hours
34,10 - 14 years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Facilitation|Mentoring|Project management|Research|UX design,"Not really satisfied, but I deal",Research|Service design|Strategy|UX design,40 hours
33,15 - 20 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I'm in the position to scale my business|I have a manageable workload,Art direction|Drawing / Painting|Leadership|Mentoring|Research,Extremely satisfied with my work situation,Communication / Graphic design|Illustration|Social impact design|Strategy,40 hours
30,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth,Data visualization|Drawing / Painting|Leadership|Public speaking|Research,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Experience design,40 hours
24,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have a manageable workload,Art direction|Coding|Data visualization|Leadership|UI design,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Interaction design|UI design|UX design,41 - 50 hours
46,10 - 14 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I'm solving worthwhile problems,Art direction|Facilitation|Public speaking|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Interaction design|UI design|UX design,40 hours
34,10 - 14 years,"$50,000 to $74,999",I have the opportunity to learn new skills|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Drawing / Painting|Leadership|Mentoring|Photography,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Illustration|Motion graphics|Strategy,40 hours
23,1 - 4 years,"$25,000 to $34,999",The standard of work is pretty high|I respect the people I work with|I'm paid what I'm worth,Art direction|Drawing / Painting|Photography|Research,"Not really satisfied, but I deal",Communication / Graphic design|Illustration|Packaging design|Service design,40 hours
40,20+ years,"$35,000 to $49,999",I have the opportunity to learn new skills|My role is valued|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Data visualization|Drawing / Painting|Project management,Ready to call it quits,Communication / Graphic design,40 hours
44,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Coding|Photography|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|UI design|UX design,40 hours
22,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's flexibility over where and when I work,UI design|UX design,"Happy, but there's room for improvement",Experience design|UI design|UX design,41 - 50 hours
22,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,Coding|Mentoring|UX design,"Happy, but there's room for improvement",Communication / Graphic design|UX design,40 hours
27,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Mentoring|Research,"Happy, but there's room for improvement",Environmental design|Illustration|Packaging design,40 hours
22,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work|I have a manageable workload,Drawing / Painting|Photography|Public speaking|UI design,Extremely satisfied with my work situation,Communication / Graphic design|UI design|UX design,41 - 50 hours
34,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization|Mentoring|Project management|UI design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Illustration|Strategy|UI design,40 hours
46,20+ years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Data visualization|Drawing / Painting|Leadership|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Education|Environmental design|Illustration|Strategy,40 hours
